Source,Target,size,Weight
Colo-Rectal Cancer,Aging,1,0.003236246
Comparative Effectiveness Research,Aging,5,0.01618123
Coronaviruses Diagnostics and Prognostics,Aging,1,0.003236246
Coronaviruses Disparities and At-Risk Populations,Aging,2,0.006472492
Cost Effectiveness Research,Aging,1,0.003236246
Dementia,Aging,142,0.459546926
Dental/Oral and Craniofacial Disease,Aging,10,0.03236246
Diabetes,Aging,1,0.003236246
Dissemination and Implementation Research,Aging,1,0.003236246
Drug Abuse (NIDA only),Aging,12,0.038834951
Frontotemporal Dementia (FTD),Aging,6,0.019417476
Genetic Testing,Aging,3,0.009708738
Health Services,Aging,31,0.100323625
Heart Disease,Aging,14,0.045307443
Heart Disease - Coronary Heart Disease,Aging,2,0.006472492
Hematology,Aging,1,0.003236246
Hypertension,Aging,4,0.012944984
Injury - Trauma - (Head and Spine),Aging,1,0.003236246
Injury - Traumatic brain injury,Aging,1,0.003236246
Injury (total) Accidents/Adverse Effects,Aging,1,0.003236246
Intellectual and Developmental Disabilities (IDD),Aging,3,0.009708738
Lewy Body Dementia,Aging,1,0.003236246
Liver Cancer,Aging,1,0.003236246
Lung,Aging,3,0.009708738
Macular Degeneration,Aging,3,0.009708738
Mental Health,Aging,14,0.045307443
Mental Illness,Aging,5,0.01618123
Mind and Body,Aging,1,0.003236246
Multiple Sclerosis,Aging,1,0.003236246
Nanotechnology,Aging,2,0.006472492
Neurodegenerative,Aging,156,0.504854369
Osteoarthritis,Aging,9,0.029126214
Pain Research,Aging,5,0.01618123
Parkinson's Disease,Aging,4,0.012944984
Patient Safety,Aging,21,0.067961165
Physical Activity,Aging,5,0.01618123
Physical Injury - Accidents and Adverse Effects,Aging,1,0.003236246
Physical Rehabilitation,Aging,12,0.038834951
Pneumonia,Aging,1,0.003236246
Pneumonia & Influenza,Aging,1,0.003236246
Precision Medicine,Aging,52,0.136842105
Prostate Cancer,Aging,6,0.019417476
Regenerative Medicine,Aging,1,0.003236246
Rehabilitation,Aging,17,0.055016181
Rural Health,Aging,1,0.003236246
Schizophrenia,Aging,5,0.01618123
Serious Mental Illness,Aging,2,0.006472492
Sickle Cell Disease,Aging,1,0.003236246
Sleep Research,Aging,2,0.006472492
Social Determinants of Health,Aging,29,0.093851133
Stem Cell Research,Aging,4,0.012944984
Stem Cell Research - Induced Pluripotent Stem Cell,Aging,1,0.003236246
Stem Cell Research - Induced Pluripotent Stem Cell - Human,Aging,1,0.003236246
Stem Cell Research - Nonembryonic - Non-Human,Aging,3,0.009708738
Stroke,Aging,18,0.058252427
Substance Abuse,Aging,7,0.022653722
Substance Misuse,Aging,5,0.01618123
Telehealth,Aging,4,0.012944984
Urologic Diseases,Aging,7,0.022653722
Vascular Cognitive Impairment/Dementia,Aging,3,0.009708738
Cannabinoid Research,"Alcoholism, Alcohol Use and Health",1,0.037037037
Eating Disorders,"Alcoholism, Alcohol Use and Health",1,0.037037037
Electronic Nicotine Delivery Systems,"Alcoholism, Alcohol Use and Health",1,0.037037037
Pediatric AIDS,"Alcoholism, Alcohol Use and Health",1,0.037037037
Post-Traumatic Stress Disorder (PTSD),"Alcoholism, Alcohol Use and Health",3,0.111111111
Screening And Brief Intervention For Substance Abuse,"Alcoholism, Alcohol Use and Health",1,0.037037037
Substance Abuse Prevention,"Alcoholism, Alcohol Use and Health",1,0.037037037
Tobacco,"Alcoholism, Alcohol Use and Health",1,0.037037037
Underage Drinking,"Alcoholism, Alcohol Use and Health",6,0.222222222
Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),Alzheimer's Disease,135,0.950704225
Alzheimer's Disease Related Dementias (ADRD),Alzheimer's Disease,6,0.044444444
American Indian or Alaska Native,Alzheimer's Disease,1,0.007407407
Assistive Technology,Alzheimer's Disease,2,0.014814815
Autism,Alzheimer's Disease,3,0.022222222
Autoimmune Disease,Alzheimer's Disease,1,0.007407407
Basic Behavioral and Social Science,Alzheimer's Disease,15,0.078947368
Behavioral and Social Science,Alzheimer's Disease,41,0.082164329
Biomedical Imaging,Alzheimer's Disease,24,0.099585062
Biotechnology,Alzheimer's Disease,23,0.037766831
Brain Disorders,Alzheimer's Disease,135,0.297356828
Cancer,Alzheimer's Disease,1,0.002262443
Cardiovascular,Alzheimer's Disease,3,0.022222222
Caregiving Research,Alzheimer's Disease,9,0.066666667
Cerebrovascular,Alzheimer's Disease,3,0.022222222
Chronic Pain,Alzheimer's Disease,1,0.007407407
Clinical Trials and Supportive Activities,Alzheimer's Disease,8,0.059259259
Coronaviruses Disparities and At-Risk Populations,Alzheimer's Disease,1,0.007407407
Dementia,Alzheimer's Disease,135,0.9375
Dissemination and Implementation Research,Alzheimer's Disease,1,0.007407407
Frontotemporal Dementia (FTD),Alzheimer's Disease,4,0.02962963
Genetic Testing,Alzheimer's Disease,3,0.022222222
Health Services,Alzheimer's Disease,11,0.054187192
Heart Disease,Alzheimer's Disease,1,0.007407407
Hematology,Alzheimer's Disease,1,0.007407407
Injury - Trauma - (Head and Spine),Alzheimer's Disease,1,0.007407407
Injury - Traumatic brain injury,Alzheimer's Disease,1,0.007407407
Injury (total) Accidents/Adverse Effects,Alzheimer's Disease,1,0.007407407
Intellectual and Developmental Disabilities (IDD),Alzheimer's Disease,3,0.022222222
Lung,Alzheimer's Disease,2,0.014814815
Mental Health,Alzheimer's Disease,8,0.029739777
Mental Illness,Alzheimer's Disease,2,0.014814815
Multiple Sclerosis,Alzheimer's Disease,1,0.007407407
Nanotechnology,Alzheimer's Disease,2,0.014814815
Neurodegenerative,Alzheimer's Disease,135,0.703125
Pain Research,Alzheimer's Disease,2,0.014814815
Patient Safety,Alzheimer's Disease,6,0.025862069
Pneumonia,Alzheimer's Disease,1,0.007407407
Pneumonia & Influenza,Alzheimer's Disease,1,0.007407407
Precision Medicine,Alzheimer's Disease,28,0.073684211
Rehabilitation,Alzheimer's Disease,3,0.022222222
Rural Health,Alzheimer's Disease,1,0.007407407
Schizophrenia,Alzheimer's Disease,2,0.014814815
Serious Mental Illness,Alzheimer's Disease,2,0.014814815
Sickle Cell Disease,Alzheimer's Disease,1,0.007407407
Sleep Research,Alzheimer's Disease,2,0.014814815
Social Determinants of Health,Alzheimer's Disease,11,0.050691244
Stem Cell Research,Alzheimer's Disease,1,0.007407407
Stem Cell Research - Induced Pluripotent Stem Cell,Alzheimer's Disease,1,0.007407407
Stem Cell Research - Induced Pluripotent Stem Cell - Human,Alzheimer's Disease,1,0.007407407
Vascular Cognitive Impairment/Dementia,Alzheimer's Disease,2,0.014814815
ALS,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),2,0.014084507
Alzheimer's Disease Related Dementias (ADRD),Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),13,0.091549296
American Indian or Alaska Native,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),1,0.007042254
Assistive Technology,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),2,0.014084507
Autism,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),3,0.021126761
Autoimmune Disease,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),1,0.007042254
Basic Behavioral and Social Science,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),15,0.078947368
Behavioral and Social Science,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),41,0.082164329
Biomedical Imaging,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),25,0.10373444
Biotechnology,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),26,0.042692939
Brain Disorders,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),142,0.31277533
Cancer,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),1,0.002262443
Cardiovascular,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),3,0.021126761
Caregiving Research,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),9,0.063380282
Cerebrovascular,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),7,0.049295775
Chronic Pain,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),1,0.007042254
Clinical Trials and Supportive Activities,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),8,0.056338028
Coronaviruses Disparities and At-Risk Populations,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),1,0.007042254
Dementia,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),139,0.965277778
Dissemination and Implementation Research,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),1,0.007042254
Frontotemporal Dementia (FTD),Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),6,0.042253521
Genetic Testing,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),3,0.021126761
Health Services,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),11,0.054187192
Heart Disease,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),1,0.007042254
Hematology,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),1,0.007042254
Injury - Trauma - (Head and Spine),Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),1,0.007042254
Injury - Traumatic brain injury,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),1,0.007042254
Injury (total) Accidents/Adverse Effects,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),1,0.007042254
Intellectual and Developmental Disabilities (IDD),Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),3,0.021126761
Lewy Body Dementia,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),1,0.007042254
Lung,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),2,0.014084507
Mental Health,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),8,0.029739777
Mental Illness,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),2,0.014084507
Multiple Sclerosis,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),1,0.007042254
Nanotechnology,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),2,0.014084507
Neurodegenerative,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),139,0.723958333
Pain Research,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),2,0.014084507
Parkinson's Disease,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),1,0.007042254
Patient Safety,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),6,0.025862069
Pneumonia,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),1,0.007042254
Pneumonia & Influenza,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),1,0.007042254
Precision Medicine,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),31,0.081578947
Rehabilitation,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),3,0.021126761
Rural Health,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),1,0.007042254
Schizophrenia,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),2,0.014084507
Serious Mental Illness,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),2,0.014084507
Sickle Cell Disease,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),1,0.007042254
Sleep Research,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),2,0.014084507
Social Determinants of Health,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),11,0.050691244
Stem Cell Research,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),1,0.007042254
Stem Cell Research - Induced Pluripotent Stem Cell,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),1,0.007042254
Stem Cell Research - Induced Pluripotent Stem Cell - Human,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),1,0.007042254
Stroke,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),3,0.021126761
Vascular Cognitive Impairment/Dementia,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),3,0.021126761
ALS,Alzheimer's Disease Related Dementias (ADRD),2,0.153846154
Frontotemporal Dementia (FTD),Alzheimer's Disease Related Dementias (ADRD),6,0.461538462
Lewy Body Dementia,Alzheimer's Disease Related Dementias (ADRD),1,0.076923077
Parkinson's Disease,Alzheimer's Disease Related Dementias (ADRD),1,0.076923077
Vascular Cognitive Impairment/Dementia,Alzheimer's Disease Related Dementias (ADRD),3,0.230769231
"Alcoholism, Alcohol Use and Health",American Indian or Alaska Native,2,0.074074074
Arthritis,American Indian or Alaska Native,2,0.058823529
Autoimmune Disease,American Indian or Alaska Native,2,0.05
Basic Behavioral and Social Science,American Indian or Alaska Native,2,0.010526316
Coronaviruses Disparities and At-Risk Populations,American Indian or Alaska Native,1,0.076923077
Drug Abuse (NIDA only),American Indian or Alaska Native,2,0.015151515
Rheumatoid Arthritis,American Indian or Alaska Native,2,0.153846154
Rural Health,American Indian or Alaska Native,5,0.131578947
Substance Abuse,American Indian or Alaska Native,2,0.021978022
Tobacco,American Indian or Alaska Native,1,0.076923077
Tobacco Smoke and Health,American Indian or Alaska Native,1,0.076923077
Cervical Cancer,Antimicrobial Resistance,1,0.066666667
Malaria,Antimicrobial Resistance,1,0.066666667
Sepsis,Antimicrobial Resistance,3,0.1875
Tuberculosis,Antimicrobial Resistance,3,0.2
"Alcoholism, Alcohol Use and Health",Anxiety Disorders,5,0.185185185
Attention Deficit Disorder (ADD),Anxiety Disorders,1,0.066666667
Attention Deficit Hyperactivity Disorder (ADHD),Anxiety Disorders,2,0.133333333
Autism,Anxiety Disorders,1,0.052631579
Back Pain,Anxiety Disorders,3,0.2
Cerebrovascular,Anxiety Disorders,1,0.038461538
Childhood Injury,Anxiety Disorders,1,0.066666667
Injury - Trauma - (Head and Spine),Anxiety Disorders,3,0.2
Injury - Traumatic brain injury,Anxiety Disorders,3,0.2
Injury (total) Accidents/Adverse Effects,Anxiety Disorders,1,0.066666667
Intellectual and Developmental Disabilities (IDD),Anxiety Disorders,1,0.03125
Mind and Body,Anxiety Disorders,1,0.043478261
Physical Injury - Accidents and Adverse Effects,Anxiety Disorders,4,0.093023256
Post-Traumatic Stress Disorder (PTSD),Anxiety Disorders,10,0.666666667
Schizophrenia,Anxiety Disorders,1,0.043478261
Sleep Research,Anxiety Disorders,2,0.095238095
Stroke,Anxiety Disorders,1,0.045454545
Substance Abuse,Anxiety Disorders,4,0.043956044
Traumatic Brain Injury (TBI),Anxiety Disorders,2,0.133333333
Traumatic Head and Spine Injury,Anxiety Disorders,2,0.133333333
Underage Drinking,Anxiety Disorders,1,0.066666667
Autoimmune Disease,Arthritis,21,0.525
Cerebral Palsy,Arthritis,4,0.117647059
Lupus,Arthritis,5,0.147058824
Muscular Dystrophy,Arthritis,2,0.058823529
Osteoarthritis,Arthritis,9,0.264705882
Physical Rehabilitation,Arthritis,4,0.117647059
Psoriasis,Arthritis,1,0.029411765
Rehabilitation,Arthritis,4,0.117647059
Rheumatoid Arthritis,Arthritis,9,0.264705882
Scleroderma,Arthritis,1,0.029411765
Sepsis,Arthritis,1,0.029411765
Stem Cell Research,Arthritis,3,0.088235294
Stem Cell Research - Induced Pluripotent Stem Cell,Arthritis,3,0.088235294
Stem Cell Research - Induced Pluripotent Stem Cell - Human,Arthritis,3,0.088235294
Stem Cell Research - Nonembryonic - Human,Arthritis,3,0.088235294
Wound Healing and Care,Arthritis,2,0.058823529
ALS,Assistive Technology,1,0.047619048
Hearing Loss,Assistive Technology,2,0.095238095
Parkinson's Disease,Assistive Technology,1,0.047619048
Physical Rehabilitation,Assistive Technology,5,0.238095238
Rehabilitation,Assistive Technology,10,0.322580645
Burden of Illness,Asthma,3,0.5
Chronic Obstructive Pulmonary Disease,Asthma,1,0.166666667
Heart Disease - Coronary Heart Disease,Atherosclerosis,3,0.3
Autism,Attention Deficit Hyperactivity Disorder (ADHD),2,0.105263158
Intellectual and Developmental Disabilities (IDD),Attention Deficit Hyperactivity Disorder (ADHD),2,0.0625
Schizophrenia,Attention Deficit Hyperactivity Disorder (ADHD),1,0.043478261
Assistive Technology,Autism,1,0.047619048
Attention Deficit Disorder (ADD),Autism,2,0.105263158
Intellectual and Developmental Disabilities (IDD),Autism,19,0.59375
Mind and Body,Autism,2,0.086956522
Schizophrenia,Autism,1,0.043478261
Celiac Disease,Autoimmune Disease,1,0.025
Childhood Obesity,Autoimmune Disease,1,0.025
Crohn's Disease,Autoimmune Disease,4,0.1
Immunotherapy,Autoimmune Disease,3,0.075
Inflammatory Bowel Disease,Autoimmune Disease,6,0.15
Lupus,Autoimmune Disease,5,0.125
Multiple Sclerosis,Autoimmune Disease,5,0.125
Muscular Dystrophy,Autoimmune Disease,2,0.05
Pediatric Research Initiative,Autoimmune Disease,1,0.025
Psoriasis,Autoimmune Disease,1,0.025
Rheumatoid Arthritis,Autoimmune Disease,9,0.225
Scleroderma,Autoimmune Disease,1,0.025
Sepsis,Autoimmune Disease,1,0.025
Stem Cell Research,Autoimmune Disease,4,0.1
Stem Cell Research - Induced Pluripotent Stem Cell,Autoimmune Disease,4,0.1
Stem Cell Research - Induced Pluripotent Stem Cell - Human,Autoimmune Disease,4,0.1
Stem Cell Research - Nonembryonic - Human,Autoimmune Disease,3,0.075
Wound Healing and Care,Autoimmune Disease,2,0.05
Injury - Trauma - (Head and Spine),Back Pain,2,0.166666667
Injury - Traumatic brain injury,Back Pain,2,0.166666667
Post-Traumatic Stress Disorder (PTSD),Back Pain,3,0.3
Traumatic Brain Injury (TBI),Back Pain,1,0.1
Traumatic Head and Spine Injury,Back Pain,1,0.1
"Alcoholism, Alcohol Use and Health",Basic Behavioral and Social Science,10,0.052631579
Anxiety Disorders,Basic Behavioral and Social Science,5,0.026315789
Aphasia,Basic Behavioral and Social Science,3,0.015789474
Assistive Technology,Basic Behavioral and Social Science,6,0.031578947
Attention Deficit Disorder (ADD),Basic Behavioral and Social Science,3,0.015789474
Attention Deficit Hyperactivity Disorder (ADHD),Basic Behavioral and Social Science,3,0.015789474
Autism,Basic Behavioral and Social Science,8,0.042105263
Autoimmune Disease,Basic Behavioral and Social Science,2,0.010526316
Cannabinoid Research,Basic Behavioral and Social Science,2,0.010526316
Cardiovascular,Basic Behavioral and Social Science,2,0.010526316
Caregiving Research,Basic Behavioral and Social Science,1,0.005263158
Cerebrovascular,Basic Behavioral and Social Science,4,0.021052632
Cervical Cancer,Basic Behavioral and Social Science,1,0.005263158
Climate Change,Basic Behavioral and Social Science,6,0.031578947
Climate-Related Exposures and Conditions,Basic Behavioral and Social Science,12,0.063157895
Conditions Affecting the Embryonic and Fetal Periods,Basic Behavioral and Social Science,2,0.010526316
Diabetes,Basic Behavioral and Social Science,2,0.010526316
Dissemination and Implementation Research,Basic Behavioral and Social Science,1,0.005263158
Drug Abuse (NIDA only),Basic Behavioral and Social Science,20,0.105263158
Eating Disorders,Basic Behavioral and Social Science,1,0.005263158
Hearing Loss,Basic Behavioral and Social Science,1,0.005263158
Hepatitis,Basic Behavioral and Social Science,2,0.010526316
Hepatitis - C,Basic Behavioral and Social Science,2,0.010526316
HPV and/or Cervical Cancer Vaccines,Basic Behavioral and Social Science,1,0.005263158
Infertility,Basic Behavioral and Social Science,2,0.010526316
Injury - Trauma - (Head and Spine),Basic Behavioral and Social Science,1,0.005263158
Injury - Traumatic brain injury,Basic Behavioral and Social Science,1,0.005263158
Intellectual and Developmental Disabilities (IDD),Basic Behavioral and Social Science,8,0.042105263
Lead Poisoning,Basic Behavioral and Social Science,2,0.010526316
Major Depressive Disorder,Basic Behavioral and Social Science,1,0.005263158
Mind and Body,Basic Behavioral and Social Science,18,0.094736842
Nutrition,Basic Behavioral and Social Science,4,0.021052632
Obesity,Basic Behavioral and Social Science,2,0.010526316
Pediatric Research Initiative,Basic Behavioral and Social Science,3,0.015789474
Physical Activity,Basic Behavioral and Social Science,3,0.015789474
Physical Injury - Accidents and Adverse Effects,Basic Behavioral and Social Science,4,0.021052632
Physical Rehabilitation,Basic Behavioral and Social Science,5,0.026315789
Radiation Oncology,Basic Behavioral and Social Science,3,0.015789474
Rehabilitation,Basic Behavioral and Social Science,10,0.052631579
Schizophrenia,Basic Behavioral and Social Science,4,0.021052632
Sleep Research,Basic Behavioral and Social Science,9,0.047368421
Stroke,Basic Behavioral and Social Science,4,0.021052632
Substance Abuse,Basic Behavioral and Social Science,16,0.084210526
Suicide,Basic Behavioral and Social Science,2,0.010526316
Telehealth,Basic Behavioral and Social Science,2,0.010526316
Tobacco,Basic Behavioral and Social Science,4,0.021052632
Tobacco Smoke and Health,Basic Behavioral and Social Science,4,0.021052632
Traumatic Brain Injury (TBI),Basic Behavioral and Social Science,1,0.005263158
Traumatic Head and Spine Injury,Basic Behavioral and Social Science,1,0.005263158
Underage Drinking,Basic Behavioral and Social Science,2,0.010526316
Urologic Diseases,Basic Behavioral and Social Science,4,0.021052632
Acute Respiratory Distress Syndrome,Behavioral and Social Science,3,0.006012024
"Alcoholism, Alcohol Use and Health",Behavioral and Social Science,20,0.04008016
Alzheimer's Disease Related Dementias (ADRD),Behavioral and Social Science,1,0.002004008
American Indian or Alaska Native,Behavioral and Social Science,7,0.014028056
Anxiety Disorders,Behavioral and Social Science,9,0.018036072
Aphasia,Behavioral and Social Science,4,0.008016032
Arthritis,Behavioral and Social Science,6,0.012024048
Assistive Technology,Behavioral and Social Science,11,0.022044088
Attention Deficit Disorder (ADD),Behavioral and Social Science,3,0.006012024
Attention Deficit Hyperactivity Disorder (ADHD),Behavioral and Social Science,3,0.006012024
Autism,Behavioral and Social Science,14,0.028056112
Autoimmune Disease,Behavioral and Social Science,8,0.016032064
Basic Behavioral and Social Science,Behavioral and Social Science,190,0.380761523
Biomedical Imaging,Behavioral and Social Science,56,0.112224449
Bipolar Disorder,Behavioral and Social Science,10,0.02004008
Cancer,Behavioral and Social Science,29,0.058116232
Cancer Genomics,Behavioral and Social Science,9,0.018036072
